iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
DJI,Africa,Djibouti,2021-09-06,11785.0,8.0,5.429,157.0,0.0,0.0,11759.165,7.982,5.417,156.656,0.0,0.0,1.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
DMA,North America,Dominica,2021-09-06,1998.0,166.0,51.429,5.0,1.0,0.143,27683.866,2300.061,712.583,69.279,13.856,1.979,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.22,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DOM,North America,Dominican Republic,2021-09-06,351894.0,156.0,268.143,4012.0,0.0,0.714,32125.542,14.242,24.48,366.268,0.0,0.065,0.99,,,,,,,,,,,,,,,,,,11308808.0,5864778.0,4710022.0,734008.0,32852.0,28180.0,103.24,53.54,43.0,6.7,2573.0,,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,
ECU,South America,Ecuador,2021-09-06,503883.0,116.0,383.143,32353.0,2.0,15.571,28168.026,6.485,21.418,1808.595,0.112,0.87,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.74,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
EGY,Africa,Egypt,2021-09-06,290395.0,368.0,319.0,16801.0,12.0,10.571,2785.341,3.53,3.06,161.148,0.115,0.101,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
SLV,North America,El Salvador,2021-09-06,96067.0,0.0,286.714,2969.0,8.0,8.571,14737.593,0.0,43.985,455.473,1.227,1.315,0.88,,,,,,,,,,,,,,,,,,6625116.0,3697347.0,2927769.0,,,59603.0,101.64,56.72,44.91,,9144.0,,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,
GNQ,Africa,Equatorial Guinea,2021-09-06,9939.0,179.0,87.571,129.0,1.0,0.714,6854.998,123.458,60.399,88.972,0.69,0.493,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-09-06,6648.0,0.0,0.857,38.0,0.0,0.0,1845.917,0.0,0.238,10.551,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
EST,Europe,Estonia,2021-09-06,144001.0,213.0,343.143,1302.0,1.0,1.571,108664.582,160.732,258.939,982.502,0.755,1.186,1.08,,,,,,,,,,,,,,,,,,1291736.0,734810.0,556926.0,,3704.0,3361.0,97.48,55.45,42.03,,2536.0,,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,
SWZ,Africa,Eswatini,2021-09-06,44234.0,58.0,168.571,1156.0,11.0,8.857,37730.442,49.472,143.787,986.038,9.383,7.555,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.96,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
